State Code,Demography,Population (million),Gross Domestic Product ($ billion),Gross Domestic Product for the Manufacturing Sector ($ million),Supply & Distribution,Production,Total Energy (trillion Btu),Crude Oil (thousand barrels per day),Natural Gas - Marketed (million cu ft),Coal (thousand short tons)
AL,,5.2,321.2,50115,,,1103,6,87391,12043
AK,,0.7,70,1803,,,1321,387,367726,1009
AZ,,7.6,552.2,46112,,,411,0,29,
AR,,3.1,188.7,26987,,,671,10,389535,
CA,,39.4,4103.1,405643,,,1642,253,130703,
CO,,6,553.3,28705,,,3559,465,1825784,12371
CT,,3.7,365.7,41743,,,178,,,
DE,,1.1,103.3,7589,,,3,,,
DC,,0.7,186.2,W,,,2,,,
FL,,23.4,1705.6,80704,,,532,2,533,
GA,,11.2,882.5,86619,,,661,,,
HI,,1.4,115.6,2045,,,18,,,
ID,,2,128.1,11467,,,77,0,2409,
IL,,12.7,1137.2,139136,,,2201,18,2588,36865
IN,,6.9,527.4,138694,,,809,4,3826,23782
IA,,3.2,257,44460,,,783,,,
KS,,3,234.7,33164,,,614,70,136903,
KY,,4.6,293,47521,,,851,5,89987,28346
LA,,4.6,327.8,59407,,,4998,69,4326182,289
ME,,1.4,98.6,8462,,,83,,,
MD,,6.3,542.8,28730,,,217,,3,1280
MA,,7.1,780.7,62972,,,58,,,
MI,,10.1,706.6,115210,,,580,10,68132,
MN,,5.8,500.9,58799,,,429,,,
MS,,2.9,157.5,23130,,,314,29,27201,2685
MO,,6.2,451.2,52378,,,210,0,0,140
MT,,1.1,76,4328,,,767,74,41172,29072
NE,,2,185.4,21660,,,401,3,265,
NV,,3.3,260.7,11624,,,66,0,4,
NH,,1.4,121.2,10166,,,133,,,
NJ,,9.5,846.6,69610,,,335,,,
NM,,2.1,140.5,5271,,,7652,2297,3160057,7987
NY,,19.9,2297,90114,,,517,1,8219,
NC,,11,839.1,108070,,,615,,,
ND,,0.8,75.4,5802,,,4492,1167,1125285,24087
OH,,11.9,927.7,137871,,,3001,155,2219800,1947
OK,,4.1,265.8,21172,,,4394,401,2825931,2
OR,,4.3,331,39176,,,193,,91,
PA,,13.1,1024.2,111077,,,10102,10,7592313,42647
RI,,1.1,82.5,5575,,,9,,,
SC,,5.5,350,47222,,,706,,,
SD,,0.9,75.2,5737,,,236,2,125,
TN,,7.2,549.7,71917,,,502,0,3001,
TX,,31.3,2709.4,300250,,,27105,5840,11526840,13815
UT,,3.5,300.9,30995,,,826,187,286497,6921
VT,,0.6,45.7,3599,,,20,,,
VA,,8.8,764.5,54709,,,835,0,83437,10548
WA,,8,854.7,68261,,,440,,,
WV,,1.8,107.7,8956,,,6090,42,3150354,84560
WI,,6,451.3,73735,,,275,,,
WY,,0.6,52.9,W,,,5846,296,970496,237261
